#lemma,wordnet_2.0,wordnet_3.0,POS,Cyc ID,Cyc name
sicken,200085755,88209,verb,Mx4rebuto7KeEdmAhAACs6hRjg,SickeningAnAgent
magnolia,110963584,11709674,noun,Mx4rvViFCJwpEbGdrcN5Y29ycA,MagnoliaTree
genital,302745856,2881567,adj,Mx4rv6GN85wpEbGdrcN5Y29ycA,ExternalSexOrgan
Guyana_dollar,112901379,13673362,noun,Mx4rvVjeJZwpEbGdrcN5Y29ycA,Dollar-Guyana
debugger,106169667,6574334,noun,Mx4rvipchZwpEbGdrcN5Y29ycA,DebuggerProgram
minor_league,107733291,8231678,noun,Mx4rwGzDc5wpEbGdrcN5Y29ycA,MinorLeague
life_insurance,112590329,13347237,noun,Mx4rvVji75wpEbGdrcN5Y29ycA,LifeInsurance
milk,107370228,7844042,noun,Mx4rvVi3fpwpEbGdrcN5Y29ycA,CowsMilk-Product
readmit,202319191,2390786,verb,Mx4rH04H2rgiEdmAAAACs6hRjg,ReadmitingSomeone
dagger,103044310,3158885,noun,Mx4rwQCclpwpEbGdrcN5Y29ycA,Dagger
sexual_love,100795680,846515,noun,Mx4rwQwdOZwpEbGdrcN5Y29ycA,SexualBehavior
verbalize,200111855,116203,verb,Mx4rebyYALKeEdmAhAACs6hRjg,Verbalizing-ConvertingSomething
vise,104362010,4538552,noun,Mx4rvViwaZwpEbGdrcN5Y29ycA,Vise
artesian_well,102649768,2744634,noun,Mx4rwT2YxpwpEbGdrcN5Y29ycA,ArtesianWell
elm,111657863,12406155,noun,Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvVikEJwpEbGdrcN5Y29ycA,"[:WoodFn, :ElmTree]"
female,109013489,9619168,noun,Mx4rvVjW5ZwpEbGdrcN5Y29ycA,FemaleHuman
icon,106823909,7269916,noun,Mx4rwRuCw5wpEbGdrcN5Y29ycA,ComputerIcon
Mars,108762976,9347445,noun,Mx4rvVkBi5wpEbGdrcN5Y29ycA,PlanetMars
Antarctica,108625088,9198106,noun,Mx4rvViPRpwpEbGdrcN5Y29ycA,ContinentOfAntarctica
Orlando,108510553,9074140,noun,Mx4rwQr8MpwpEbGdrcN5Y29ycA,CityOfOrlandoFL
bear,201391729,1432601,verb,Mx4rvViMIpwpEbGdrcN5Y29ycA,CarryingWhileLocomoting
porcupine,102260673,2346627,noun,Mx4rvVjFKZwpEbGdrcN5Y29ycA,Porcupine
Portuguese_man-of-war,101831203,1913166,noun,Mx4rwP1N0JwpEbGdrcN5Y29ycA,PortugueseManOfWar
citrus,111958899,12707781,noun,Mx4rvViuhJwpEbGdrcN5Y29ycA,CitrusFruitTree
athlete,109194191,9820263,noun,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
sign,106375800,6793231,noun,Mx4rvVi2opwpEbGdrcN5Y29ycA,SignTheDisplay
Plymouth,108533472,9098721,noun,Mx4rvV8Yi5wpEbGdrcN5Y29ycA,CityOfPlymouthMA
bannister,102690697,2788148,noun,Mx4rvgEbT5wpEbGdrcN5Y29ycA,Banister
remarriage,101178743,1248752,noun,Mx4rd_UcrsCGEdmAAAACs6hRjg,Remarriage
pant_leg,103738653,3885293,noun,Mx4rvgHvcpwpEbGdrcN5Y29ycA,PantLeg
Delhi,108352220,8903220,noun,Mx4rvWLB5JwpEbGdrcN5Y29ycA,CityOfDelhiIndia
limber_up,200026491,27064,verb,Mx4ry8kporHcEdmAhAACs6hRjg,LimberingUp
facial_tissue,114018158,14864259,noun,Mx4rwQCYepwpEbGdrcN5Y29ycA,FacialTissue
celiac_trunk,105033106,5340317,noun,Mx4rv6RGTJwpEbGdrcN5Y29ycA,CeliacTrunk
eastern_hemisphere,108038907,8562243,noun,Mx4rvVjP15wpEbGdrcN5Y29ycA,EasternHemisphere-Region
Belarus,108452446,9011151,noun,Mx4rvVjw35wpEbGdrcN5Y29ycA,Belarus
mule_deer,102344846,2432511,noun,Mx4rv8UWWpwpEbGdrcN5Y29ycA,MuleDeer
accessory_hemiazygos_vein,105049335,5356657,noun,Mx4rwIt0ZpwpEbGdrcN5Y29ycA,AccessoryHemiAzygosVein
shirt,104037184,4197391,noun,Mx4rvViBOZwpEbGdrcN5Y29ycA,Shirt
middle_thyroid_vein,105076417,5383956,noun,Mx4rwKVIYpwpEbGdrcN5Y29ycA,MiddleThyroidVein
tract,108142919,8673395,noun,Mx4rvVjQsJwpEbGdrcN5Y29ycA,Ground
nickel,113808178,14646610,noun,Mx4rvVkB5ZwpEbGdrcN5Y29ycA,Nickel
swindle,100730701,780148,noun,Mx4rJVZGYLZqEdmFRAACs6hRjg,SwindlingAnAgent
drive,113235256,14035298,noun,Mx4rJFQTxrjJEdmAAAACs6hRjg,Drive-PhysiologicalCondition
deciduous,300873559,914104,adj,Mx4rvViEgZwpEbGdrcN5Y29ycA,DeciduousPlant
nightingale,101482311,1560105,noun,Mx4rvWOxlJwpEbGdrcN5Y29ycA,Nightingale
party,107753857,8252602,noun,Mx4rvViK8ZwpEbGdrcN5Y29ycA,Party-Celebration
God,108934365,9536058,noun,Mx4rvVjqxpwpEbGdrcN5Y29ycA,GodOfAbrahamIsaacAndJacob
oak,111520753,12268918,noun,Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvVjB35wpEbGdrcN5Y29ycA,"[:WoodFn, :OakTree]"
help_out,202473173,2548422,verb,Mx4rf39Jw7ctEdmFRAACs6hRjg,HelpingOut
note,106217160,6626286,noun,Mx4rwSNjZZwpEbGdrcN5Y29ycA,LetterCopy
Anglicanism,105850069,6229106,noun,Mx4rvVjpzZwpEbGdrcN5Y29ycA,AnglicanReligion
beak,101679219,1758510,noun,Mx4rvVj4fZwpEbGdrcN5Y29ycA,Beak
